Hillary,Trump,total,county_name,state_abbreviation
780,3101,4192,Benewah County,ID
2924,10907,16625,Bingham County,ID
6416,3340,10723,Blaine County,ID
777,2673,3812,Boise County,ID
5140,10220,16815,Bonner County,ID
8930,26699,44212,Bonneville County,ID
933,3789,5150,Boundary County,ID
160,914,1230,Butte County,ID
110,410,599,Camas County,ID
16683,46755,72007,Canyon County,ID
271,2275,3035,Caribou County,ID
1036,5949,8178,Cassia County,ID
44,203,283,Clark County,ID
704,2852,3801,Clearwater County,ID
427,1777,2413,Custer County,ID
1814,5816,8519,Elmore County,ID
385,3901,5499,Franklin County,ID
651,4091,5714,Fremont County,ID
1229,5980,7952,Gem County,ID
930,3743,5191,Gooding County,ID
1196,6441,8223,Idaho County,ID
976,8436,11471,Jefferson County,ID
2117,7347,10667,Jerome County,ID
16264,44449,66286,Kootenai County,ID
8093,7255,18146,Latah County,ID
733,3011,4068,Lemhi County,ID
270,1202,1590,Lewis County,ID
360,1184,1748,Lincoln County,ID
1201,8941,15687,Madison County,ID
1167,4887,6870,Minidoka County,ID
4828,10699,17195,Nez Perce County,ID
184,1531,2068,Oneida County,ID
591,3052,3920,Owyhee County,ID
892,4306,5703,Payette County,ID
699,1666,2758,Power County,ID
1384,3297,5120,Shoshone County,ID
2157,2161,4966,Teton County,ID
6844,21063,31893,Twin Falls County,ID
1913,2906,5349,Valley County,ID
776,3283,4454,Washington County,ID
7633,22732,31770,Adams County,IL
1262,1496,2820,Alexander County,IL
2066,4884,7462,Bond County,IL
8952,12261,22604,Boone County,IL
475,1776,2336,Brown County,IL
6010,9264,16303,Bureau County,IL
739,1719,2556,Calhoun County,IL
2437,4428,7354,Carroll County,IL
1617,3216,5054,Cass County,IL
49694,33235,89196,Champaign County,IL
3982,10522,15310,Christian County,IL
1873,5620,7819,Clark County,IL
1014,5009,6278,Clay County,IL
3939,12394,17268,Clinton County,IL
7285,12985,21580,Coles County,IL
1528582,440213,2055215,Cook County,IL
1969,6146,8507,Crawford County,IL
1028,4200,5513,Cumberland County,IL
20348,19051,42605,DeKalb County,IL
1907,5072,7469,De Witt County,IL
1946,5695,8089,Douglas County,IL
222499,164355,412929,DuPage County,IL
1778,5634,7783,Edgar County,IL
432,2777,3312,Edwards County,IL
3071,13613,17428,Effingham County,IL
1814,7363,9515,Fayette County,IL
1410,4474,6289,Ford County,IL
4711,13101,18533,Franklin County,IL
6118,8482,15609,Fulton County,IL
656,1942,2691,Gallatin County,IL
1202,4139,5542,Greene County,IL
8021,13417,22891,Grundy County,IL
800,3205,4143,Hamilton County,IL
1744,5713,7818,Hancock County,IL
419,1650,2133,Hardin County,IL
1151,2153,3480,Henderson County,IL
8835,13962,24232,Henry County,IL
2496,9728,12923,Iroquois County,IL
11619,10889,24509,Jackson County,IL
924,3973,5104,Jasper County,IL
4408,11681,16818,Jefferson County,IL
2673,7737,10909,Jersey County,IL
4452,6113,11177,Jo Daviess County,IL
1135,4644,6017,Johnson County,IL
99389,82087,193500,Kane County,IL
18908,25081,46556,Kankakee County,IL
23392,24152,50815,Kendall County,IL
9939,10658,21964,Knox County,IL
168186,108608,293574,Lake County,IL
19277,26269,48447,LaSalle County,IL
1288,4517,6039,Lawrence County,IL
5499,8597,15215,Lee County,IL
4005,10197,15096,Livingston County,IL
3301,8167,12130,Logan County,IL
18211,26782,47283,Macon County,IL
6532,14194,21881,Macoupin County,IL
50336,70295,127902,Madison County,IL
4231,11677,16600,Marion County,IL
1784,3776,5903,Marshall County,IL
2008,4051,6433,Mason County,IL
1555,4844,6633,Massac County,IL
5278,6789,12910,McDonough County,IL
59827,71117,140145,McHenry County,IL
35918,37081,78995,McLean County,IL
1808,4230,6423,Menard County,IL
3061,4800,8417,Mercer County,IL
5522,12614,19074,Monroe County,IL
3490,8616,12829,Montgomery County,IL
4693,9060,14607,Morgan County,IL
1476,4453,6209,Moultrie County,IL
8025,14344,23798,Ogle County,IL
37436,35299,77465,Peoria County,IL
2433,6816,9706,Perry County,IL
2633,5623,8899,Piatt County,IL
1412,5749,7458,Pike County,IL
374,1678,2132,Pope County,IL
817,1583,2473,Pulaski County,IL
1143,1762,3076,Putnam County,IL
3421,9992,14032,Randolph County,IL
1579,5736,7630,Richland County,IL
32258,26969,62971,Rock Island County,IL
2551,8248,11234,Saline County,IL
40731,49823,96472,Sangamon County,IL
1074,2523,3792,Schuyler County,IL
528,1965,2583,Scott County,IL
2279,8209,10912,Shelby County,IL
60180,53479,119201,St. Clair County,IL
748,1777,2707,Stark County,IL
7531,10845,19525,Stephenson County,IL
20568,38620,63347,Tazewell County,IL
2389,5780,8514,Union County,IL
9876,18582,29799,Vermilion County,IL
1146,4039,5402,Wabash County,IL
2983,4267,7700,Warren County,IL
1446,5566,7376,Washington County,IL
1048,6963,8256,Wayne County,IL
1412,5639,7289,White County,IL
11005,12597,25210,Whiteside County,IL
146230,129726,291010,Will County,IL
8539,21503,31422,Williamson County,IL
52595,53922,113027,Winnebago County,IL
5068,13180,19389,Woodford County,IL
2802,9642,13039,Adams County,IN
55222,83801,145787,Allen County,IN
9841,20637,32389,Bartholomew County,IN
860,2579,3654,Benton County,IN
1243,3349,4822,Blackford County,IN
10181,19654,32061,Boone County,IN
2518,5015,7908,Brown County,IN
1891,6273,8609,Carroll County,IN
